Lung Cancer,,,,,,,,,,,,,,,
HMDB0000157,"Hypoxanthine + NAD + Water =Xanthine + NADH,Inosinic acid + Pyrophosphate = Hypoxanthine + Phosphoribosyl pyrophosphate",,,,,,,,,,,,,,
HMDB0000042,3-Hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA = 7-Methyl-3-oxo-6-octenoyl-CoA + Acetic acid,,,,,,,,,,,,,,
HMDB0001881,Propylene glycol + NADP = Lactaldehyde + NADPH + Hydrogen Ion,,,,,,,,,,,,,,
HMDB0000258,"Sucrose + Water = D-Fructose + D-Glucose,Sucrose + Water = D-Fructose + alpha-D-Glucose",,,,,,,,,,,,,,
HMDB0000098,D-Xylitol + NADP = D-Xylose + NADPH + Hydrogen Ion,,,,,,,,,,,,,,
HMDB0000108,Ethanol =Ethyl hydrogen sulfate,,,,,,,,,,,,,,
HMDB0000699,1-Methylnicotinamide + Oxygen + Water = N1-Methyl-4-pyridone-3-carboxamide + Hydrogen peroxide + Hydrogen Ion,,,,,,,,,,,,,,
HMDB0000729,"alpha-Hydroxyisobutyric acid = 6-(1-carboxy-1-methylethoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid",,,,,,,,,,,,,,
HMDB0000754,"3-Hydroxyisovaleric acid = 6-[(1-carboxy-2-methylpropan-2-yl)oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",,,,,,,,,,,,,,
HMDB0000020,4-Hydroxyphenylacetaldehyde + NAD + Water = p-Hydroxyphenylacetic acid + NADH + Hydrogen Ion,,,,,,,,,,,,,,
HMDB0000161,L-Kynurenine + Water = 2-Aminobenzoic acid + L-Alanine,,,,,,,,,,,,,,
HMDB0000043,Betaine aldehyde + NAD + Water = Betaine + NADH,,,,,,,,,,,,,,
HMDB0000062,Acetyl-CoA + L-Carnitine = Coenzyme A + L-Acetylcarnitine,,,,,,,,,,,,,,
HMDB0000097,Acetyl-CoA + Choline = Coenzyme A + Acetylcholine,,,,,,,,,,,,,,
HMDB0000094,ADP + Phosphate + Acetyl-CoA + Oxalacetic acid = Adenosine triphosphate + Citric acid + Coenzyme A,,,,,,,,,,,,,,
HMDB0000064,S-Adenosylmethionine + Guanidoacetic acid = S-Adenosylhomocysteine + Creatine,,,,,,,,,,,,,,
HMDB0000142,"Obtusifoliol + Oxygen + NADPH = delta8,14-Sterol + Formic acid + NADP + Water",,,,,,,,,,,,,,
HMDB0000134,Ubiquinone-2 + Succinic acid = QH2 + Fumaric acid,,,,,,,,,,,,,,
HMDB0000123,Succinyl-CoA + Glycine = 5-Aminolevulinic acid + Coenzyme A + CO(2),,,,,,,,,,,,,,
HMDB0000115,Glycolic acid = 2-(sulfooxy)acetic acid,,,,,,,,,,,,,,
HMDB0000714,Benzoyl-CoA + Glycine = Coenzyme A + Hippuric acid,,,,,,,,,,,,,,
HMDB0000254,Ubiquinone-2 + Succinic acid = QH2 + Fumaric acid,,,,,,,,,,,,,,
HMDB0000251,Choloyl-CoA + Taurine = Coenzyme A + Taurocholic acid,,,,,,,,,,,,,,
HMDB0000925,Trimethylamine + NADPH + Hydrogen Ion + Oxygen = Trimethylamine N-oxide + NADP + Water,,,,,,,,,,,,,,
HMDB0000883,L-Valine + Oxoglutaric acid = alpha-Ketoisovaleric acid + L-Glutamic acid,,,,,,,,,,,,,,
HMDB0000072,Citric acid = cis-Aconitic acid + Water,,,,,,,,,,,,,,
                                                                                                                                                                                                                                                                                                                                                                               ,,,,,,,,,,,,,,,
HMDB0000405,2-Hydroxyestradiol + S-Adenosylmethionine = 2-Methoxyestradiol + S-Adenosylhomocysteine,,,,,,,,,,,,,,
Thyroid cancer ,,,,,,,,,,,,,,,
HMDB0000174,Adenosine triphosphate + L-Fucose = ADP + Fucose 1-phosphate,,,,,,,,,,,,,,
HMDB0002183,Cervonyl coenzyme A + Water = Coenzyme A + Docosahexaenoic acid,,,,,,,,,,,,,,
HMDB0000879,5alpha-Dihydrodeoxycorticosterone + NADPH + Hydrogen Ion = Tetrahydrodeoxycorticosterone + NADP,,,,,,,,,,,,,,
HMDB0000053,Testosterone + NAD = Androstenedione + NADH,,,,,,,,,,,,,,
HMDB0000352,"16a-Hydroxyandrost-4-ene-3,17-dione + Hydrogen Ion + NADH = 16a-Hydroxydehydroisoandrosterone + NAD",,,,,,,,,,,,,,
HMDB0000673,Phosphatidylcholine + Water = 1-Acyl-sn-glycero-3-phosphocholine + Linoleic acid,,,,,,,,,,,,,,
HMDB0001388,Phosphatidylcholine + Water = 1-Acyl-sn-glycero-3-phosphocholine + alpha-Linolenic acid,,,,,,,,,,,,,,
HMDB0001276,N1-Acetylspermidine + Oxygen + Water = Putrescine + Acetamidopropanal + Hydrogen peroxide,,,,,,,,,,,,,,
Prostate cancer,,,,,,,,,,,,,,,
HMDB0003966,Selenohomocysteine + 5-Methyltetrahydropteroyltri-L-glutamic acid = Selenomethionine + Tetrahydropteroyltri-L-glutamic acid,,,,,,,,,,,,,,
HMDB0000218,Orotidylic acid + Pyrophosphate = Orotic acid + Phosphoribosyl pyrophosphate,,,,,,,,,,,,,,
HMDB0001191,Deoxyuridine triphosphate + Uridine = dUDP + Uridine 5'-monophosphate,,,,,,,,,,,,,,
HMDB0000764,"Hydrocinnamic acid = 3,4,5-trihydroxy-6-[(3-phenylpropanoyl)oxy]oxane-2-carboxylic acid",,,,,,,,,,,,,,
HMDB0003466,L-Gulonolactone + Water = Gulonic acid,,,,,,,,,,,,,,
HMDB0000150,Gluconolactone + Water = Gluconic acid,,,,,,,,,,,,,,
HMDB0001266,L-Iditol + NAD = L-Sorbose + NADH,,,,,,,,,,,,,,
HMDB0001138,Acetyl-CoA + L-Glutamic acid = Coenzyme A + N-Acetyl-L-glutamic acid,,,,,,,,,,,,,,
HMDB0002985,myo-Inositol 6-phosphate + Water = myo-Inositol + Phosphate,,,,,,,,,,,,,,
HMDB0011754,Methyldopa = (2S)-2-amino-3-(4-hydroxy-3-methoxyphenyl)-2-methylpropanoic acid,,,,,,,,,,,,,,
HMDB0001104,N(4)-(beta-N-acetyl-D-glucosaminyl)-L-asparagine + Water = N-Acetyl-b-glucosaminylamine + L-Aspartic acid,,,,,,,,,,,,,,
HMDB0000828,Carbamoyl phosphate + L-Aspartic acid = Phosphate + Ureidosuccinic acid,,,,,,,,,,,,,,
Phenylketonuria,,,,,,,,,,,,,,,
HMDB0000078,Cysteinylglycine + Water = L-Cysteine + Glycine,,,,,,,,,,,,,,
HMDB0000209,Phenylacetaldehyde + NAD + Water = Phenylacetic acid + NADH + Hydrogen Ion,,,,,,,,,,,,,,
HMDB0000159,Adenosine triphosphate + L-Phenylalanine + tRNA(Phe) = Adenosine monophosphate + Pyrophosphate + L-phenylalanyl-tRNA(Phe),,,,,,,,,,,,,,
HMDB0000883,L-Valine + Oxoglutaric acid = alpha-Ketoisovaleric acid + L-Glutamic acid,,,,,,,,,,,,,,
HMDB0000374,"17alpha,20alpha-Dihydroxypregn-4-en-3-one + NAD(P)(+) = 17-Hydroxyprogesterone + NAD(P)H",,,,,,,,,,,,,,
HMDB0000687,L-Leucine + Oxoglutaric acid = Ketoleucine + L-Glutamic acid,,,,,,,,,,,,,,
HMDB0000205,Phenylpyruvic acid = Enol-phenylpyruvate,,,,,,,,,,,,,,
HMDB0000205,Phenylpyruvic acid = Enol-phenylpyruvate,,,,,,,,,,,,,,
HMDB0000779,Phenyllactic acid = 3-phenyl-2-(sulfooxy)propanoic acid,,,,,,,,,,,,,,
HMDB0000440,"3-Hydroxyphenylacetic acid = 6-[3-(carboxymethyl)phenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",,,,,,,,,,,,,,
HMDB0000669,Phenylpyruvic acid + Oxygen = ortho-Hydroxyphenylacetic acid + Carbon dioxide,,,,,,,,,,,,,,
HMDB0000755,Hydroxyphenyllactic acid = 3-(4-hydroxyphenyl)-2-(sulfooxy)propanoic acid,,,,,,,,,,,,,,
HMDB0000707,4-Hydroxyphenylpyruvic acid = 2-Hydroxy-3-(4-hydroxyphenyl)propenoic acid,,,,,,,,,,,,,,
HMDB0000209,Phenylacetaldehyde + NAD + Water = Phenylacetic acid + NADH + Hydrogen Ion,,,,,,,,,,,,,,
HMDB0000779,Phenyllactic acid = 3-phenyl-2-(sulfooxy)propanoic acid,,,,,,,,,,,,,,
HMDB0000042,3-Hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA = 7-Methyl-3-oxo-6-octenoyl-CoA + Acetic acid,,,,,,,,,,,,,,
Obesity,,,,,,,,,,,,,,,
HMDB0000162,L-Proline + Oxoglutaric acid + Oxygen = 4-Hydroxyproline + Succinic acid + Carbon dioxide,,,,,,,,,,,,,,
HMDB0000641,L-Glutamine + Fructose 6-phosphate = L-Glutamic acid + Glucosamine 6-phosphate,,,,,,,,,,,,,,
HMDB0000696,5-Methyltetrahydrofolic acid + Homocysteine = Tetrahydrofolic acid + L-Methionine,,,,,,,,,,,,,,
HMDB0000641,L-Glutamine + Fructose 6-phosphate = L-Glutamic acid + Glucosamine 6-phosphate,,,,,,,,,,,,,,
HMDB0000696,5-Methyltetrahydrofolic acid + Homocysteine = Tetrahydrofolic acid + L-Methionine,,,,,,,,,,,,,,312
HMDB0000162,L-Proline + Oxoglutaric acid + Oxygen = 4-Hydroxyproline + Succinic acid + Carbon dioxide,,,,,,,,,,,,,,
HMDB0000062,Acetyl-CoA + L-Carnitine = Coenzyme A + L-Acetylcarnitine,,,,,,,,,,,,,,
HMDB0000791,Octanoyl-CoA + L-Carnitine = Coenzyme A + Octanoylcarnitine,,,,,,,,,,,,,,
HMDB0000714,Benzoyl-CoA + Glycine = Coenzyme A + Hippuric acid,,,,,,,,,,,,,,
HMDB0000479,Adenosine triphosphate + 3-Methylhistidine + beta-Alanine = Adenosine monophosphate + Pyrophosphate + Anserine,,,,,,,,,,,,,,
HMDB0000011,3-Hydroxybutyric acid = 3-(sulfooxy)butanoic acid,,,,,,,,,,,,,,
HMDB0001425,"Phosphoadenosine phosphosulfate + Estrone = Adenosine 3',5'-diphosphate + Estrone sulfate",,,,,,,,,,,,,,
HMDB0001319,Pyridoxine 5'-phosphate + Oxygen = Pyridoxal 5'-phosphate + Hydrogen peroxide,,,,,,,,,,,,,,
HMDB0000561,beta-Carotene + Oxygen = Retinal,,,,,,,,,,,,,,
HMDB0000158,L-Tyrosine + Oxygen = Dopaquinone + Water,,,,,,,,,,,,,,
